registerId,value,unit,measuredAt,device,profile,groupName
1-0:1.8.0*255,0.0,kWh,,ISKIE070685,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,946.76,kWh,,ISKIE070687,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,1383.585,kWh,,ISKIE070840,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,633.197,kWh,,ISKIE070759,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,647.182,kWh,,ISKIE070744,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,8321.711,kWh,,ISKIE070747,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,521.346,kWh,,ISKIE070729,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,1976.081,kWh,,ISKIE070746,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,1549.309,kWh,,ISKIE070748,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,526.835,kWh,,ISKIE070752,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,692.05,kWh,,ISKIE070724,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,1052.453,kWh,,ISKIE070725,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,994.935,kWh,,ISKIE070726,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,997.631,kWh,,ISKIE070804,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,1295.374,kWh,,ISKIE070806,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,0.001,kWh,,ISKIE070698,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,0.0,kWh,,ISKIE070686,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,1527.924,kWh,,ISKIE070852,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,0.0,kWh,,ISKIE070848,1-0:98.1.0*255,Panchet Domestic
