id,inventoryState,lastConnection,groupName
ISKIE070715,installed,1729052943,Panchet Domestic
ISKIE070798,installed,1729061046,Panchet Domestic
ISKIE070801,installed,1729052944,Panchet Domestic
ISKIE070792,installed,1729053288,Panchet Domestic
ISKIE076970,installed,1729053330,Panchet Commercial
ISKIE076913,installed,1729061049,Panchet Commercial
ISKIE070787,installed,1729061054,Panchet Domestic
ISKIE070878,installed,1729060962,Panchet Domestic
ISKIE070718,installed,1729060966,Panchet Domestic
ISKIE070836,installed,1729061006,Panchet Domestic
ISKIE070837,installed,1729061010,Panchet Domestic
ISKIE070835,installed,1729042113,Panchet Domestic
ISKIE070834,installed,1729061087,Panchet Domestic
ISKIE070833,installed,1729061091,Panchet Domestic
ISKIE070863,installed,1729061095,Panchet Domestic
ISKIE070784,installed,1729061099,Panchet Domestic
ISKIE070814,installed,1729061162,Panchet Domestic
ISKIE070774,installed,1729061166,Panchet Domestic
ISKIE070879,installed,1729061170,Panchet Domestic
ISKIE070773,installed,1729061173,Panchet Domestic
ISKIE070742,installed,1729061190,Panchet Domestic
ISKIE070740,installed,1729061236,Panchet Domestic
ISKIE070431,installed,1701672240,Panchet Domestic
ISKIE070432,installed,1729061244,Panchet Domestic
ISKIE070429,installed,1729061312,Panchet Domestic
ISKIE070868,installed,1729061316,Panchet Domestic
ISKIE070872,installed,,Panchet Domestic
ISKIE070428,installed,1729061383,Panchet Domestic
ISKIE070871,installed,1729061387,Panchet Domestic
ISKIE070786,installed,1729061391,Panchet Domestic
ISKIE070785,installed,,Panchet Domestic
ISKIE070776,installed,1701672242,Panchet Domestic
ISKIE070775,installed,1729058042,Panchet Domestic
ISKIE070865,installed,1729058046,Panchet Domestic
ISKIE070430,installed,1729058049,Panchet Domestic
ISKIE070870,installed,1729058051,Panchet Domestic
ISKIE076984,installed,1729058054,Panchet Domestic
ISKIE070817,installed,1729057991,Panchet Domestic
ISKIE070813,installed,1729057991,Panchet Domestic
ISKIE070777,installed,1710362192,Panchet Domestic
ISKIE070864,installed,1699988760,Panchet Domestic
ISKIE070709,installed,1729057825,Panchet Domestic
ISKIE070712,installed,1729042544,Panchet Domestic
ISKIE070855,installed,1729058066,Panchet Domestic
ISKIE070708,installed,1729058081,Panchet Domestic
ISKIE076987,installed,1729058127,Panchet Domestic
ISKIE076985,installed,1702586203,Panchet Domestic
ISKIE070857,installed,1729058165,Panchet Domestic
ISKIE070866,installed,1729057830,Panchet Domestic
ISKIE070783,installed,1729058172,Panchet Domestic
ISKIE070853,installed,1729058175,Panchet Domestic
ISKIE070719,installed,1729042645,Panchet Domestic
ISKIE070690,installed,1729042618,Panchet Domestic
ISKIE076966,installed,1728285185,Panchet Domestic
ISKIE076986,installed,1729042709,Panchet Domestic
ISKIE076983,installed,1729057860,Panchet Domestic
ISKIE070778,installed,,Panchet Domestic
ISKIE070867,installed,1729057867,Panchet Domestic
ISKIE070780,installed,1729057871,Panchet Domestic
ISKIE070779,installed,1729042798,Panchet Domestic
ISKIE070720,installed,1729058176,Panchet Domestic
ISKIE070722,installed,1729057881,Panchet Domestic
ISKIE070880,installed,1729057884,Panchet Domestic
ISKIE076997,installed,1729058208,Panchet Domestic
ISKIE070741,installed,1729058212,Panchet Domestic
ISKIE076996,installed,1729057887,Panchet Domestic
ISKIE070735,installed,1729057891,Panchet Domestic
ISKIE070711,installed,1729056021,Panchet Domestic
ISKIE070734,installed,1729056021,Panchet Domestic
ISKIE070847,installed,1729056022,Panchet Domestic
ISKIE070737,installed,1729056022,Panchet Domestic
ISKIE070710,installed,1729056022,Panchet Domestic
ISKIE076927,installed,1729056023,Panchet Domestic
ISKIE070843,installed,,Panchet Domestic
ISKIE070869,installed,1729041557,Panchet Domestic
ISKIE070846,installed,1729061522,Panchet Domestic
ISKIE070736,installed,1729057909,Panchet Domestic
ISKIE070733,installed,1729057912,Panchet Domestic
ISKIE070845,installed,1729057916,Panchet Domestic
ISKIE070822,installed,1729042713,Panchet Domestic
ISKIE070844,installed,,Panchet Domestic
ISKIE070771,installed,1729057927,Panchet Domestic
ISKIE070749,installed,1729056024,Panchet Domestic
ISKIE070805,installed,1729044983,Panchet Domestic
ISKIE076911,installed,1729061104,Panchet Domestic
ISKIE076964,installed,1729043122,Panchet Domestic
ISKIE077195,installed,1729057955,Panchet Domestic
ISKIE077196,installed,1729046271,Panchet Domestic
ISKIE076905,installed,1729057963,Panchet Domestic
ISKIE077158,installed,1729057966,Panchet Domestic
ISKIE077155,installed,1729057969,Panchet Domestic
ISKIE076928,installed,,Panchet Domestic
ISKIE076923,installed,1729057977,Panchet Domestic
ISKIE076924,installed,1729060627,Panchet Domestic
ISKIE070824,installed,1729060628,Panchet Domestic
ISKIE076897,uninstalled,1699297827,Panchet Domestic
ISKIE076963,installed,1729060629,Panchet Domestic
ISKIE076967,installed,1729046239,Panchet Domestic
ISKIE070706,installed,1729060630,Panchet Domestic
ISKIE077264,installed,1703889598,Panchet Domestic
ISKIE077172,installed,1729060630,Panchet Domestic
ISKIE077188,installed,1729060631,Panchet Domestic
ISKIE077191,installed,1729060631,Panchet Domestic
ISKIE077119,installed,1729060631,Panchet Domestic
ISKIE070819,installed,1729046242,Panchet Domestic
ISKIE070821,installed,1706568147,Panchet Domestic
ISKIE077189,installed,1729060632,Panchet Domestic
ISKIE077192,installed,1729060633,Panchet Domestic
ISKIE077121,installed,1729060633,Panchet Commercial
ISKIE077118,installed,1729060634,Panchet Commercial
ISKIE077120,installed,1697741073,Panchet Commercial
ISKIE076974,installed,1711053802,Panchet Domestic
ISKIE076975,installed,1729060635,Panchet Domestic
ISKIE070856,installed,1729060635,Panchet Domestic
ISKIE077148,installed,1729060636,Panchet Commercial
ISKIE077157,installed,1728914130,Panchet Domestic
ISKIE077162,installed,1729060636,Panchet Domestic
ISKIE077170,installed,1729060656,Panchet Domestic
ISKIE077171,installed,1699448723,Panchet Domestic
ISKIE077154,installed,1729060657,Panchet Domestic
ISKIE077153,installed,1729060657,Panchet Domestic
ISKIE076906,installed,1729060658,Panchet Domestic
ISKIE070820,installed,1729060658,Panchet Domestic
ISKIE076907,installed,1729060658,Panchet Domestic
ISKIE077160,installed,1729060659,Panchet Domestic
ISKIE077044,installed,1726215917,Panchet Domestic
ISKIE077046,installed,1729060659,Panchet Domestic
ISKIE077045,installed,1729060660,Panchet Domestic
ISKIE077047,installed,1729046251,Panchet Domestic
ISKIE077265,installed,1729060661,Panchet Commercial
ISKIE077197,installed,1729060661,Panchet Domestic
ISKIE070815,installed,,Panchet Domestic
ISKIE070782,installed,1729060662,Panchet Domestic
ISKIE077190,installed,1729060662,Panchet Domestic
ISKIE077168,installed,1729060663,Panchet Domestic
ISKIE070826,installed,1729060663,Panchet Domestic
ISKIE077122,installed,,Panchet Commercial
ISKIE077263,installed,1729060664,Panchet Domestic
ISKIE077267,installed,1729060664,Panchet Domestic
ISKIE077266,installed,1729060665,Panchet Domestic
ISKIE077055,installed,1729060665,Panchet Domestic
ISKIE076910,installed,1729060665,Panchet Domestic
ISKIE076980,installed,1729060666,Panchet Domestic
ISKIE076981,installed,1728285192,Panchet Domestic
ISKIE076982,installed,1729060667,Panchet Domestic
ISKIE076909,installed,1729060667,Panchet Domestic
ISKIE076978,installed,1729060667,Panchet Domestic
ISKIE076908,installed,1729060668,Panchet Domestic
ISKIE076925,installed,1728686265,Panchet Domestic
ISKIE076914,uninstalled,1705660491,Panchet Domestic
ISKIE076979,installed,1729031855,Panchet Domestic
ISKIE076893,installed,1729046277,Panchet Domestic
ISKIE076895,installed,1729050258,Panchet Domestic
ISKIE076894,installed,1729060670,Panchet Domestic
ISKIE076896,installed,1729046277,Panchet Domestic
ISKIE076977,installed,1701671742,Panchet Domestic
ISKIE076904,installed,1701672298,Panchet Domestic
ISKIE077057,installed,1729058345,Panchet Domestic
ISKIE077053,installed,1729058348,Panchet Domestic
ISKIE077043,installed,1729043877,Panchet Domestic
ISKIE076965,installed,1728285195,Panchet Domestic
ISKIE077054,installed,,Panchet Domestic
ISKIE077169,installed,1729058360,Panchet Domestic
ISKIE070781,installed,1729058374,Panchet Domestic
ISKIE070854,installed,1729058377,Panchet Domestic
ISKIE070818,installed,1729058380,Panchet Domestic
ISKIE077156,installed,1729058384,Panchet Domestic
ISKIE077159,installed,1722868974,Panchet Domestic
ISKIE077161,installed,1696412821,Panchet Domestic
ISKIE077203,installed,1729060725,Panchet Commercial
ISKIE077204,installed,1729060725,Panchet Commercial
ISKIE076995,installed,1729060726,Panchet Commercial
ISKIE077207,installed,1729060726,Panchet Commercial
ISKIE077140,installed,1698748705,Panchet Domestic
ISKIE077097,installed,1729060816,Panchet Commercial
ISKIE077145,installed,1729041033,Panchet Commercial
ISKIE077151,installed,1729060824,Panchet Commercial
ISKIE077210,uninstalled,1708684737,Panchet Commercial
ISKIE076976,installed,1729060846,Panchet Commercial
ISKIE077135,installed,1728285198,Panchet Commercial
ISKIE077133,installed,1728974487,Panchet Commercial
ISKIE077134,installed,1729060917,Panchet Commercial
ISKIE077138,installed,1729061276,Panchet Commercial
ISKIE077141,installed,1697366459,Panchet Commercial
ISKIE077139,installed,1729060988,Panchet Commercial
ISKIE077011,installed,1729061343,Panchet Commercial
ISKIE077143,installed,1729061396,Panchet Commercial
ISKIE077150,installed,1729061400,Panchet Commercial
ISKIE077149,installed,1729061404,Panchet Commercial
ISKIE077152,installed,1729061414,Panchet Commercial
ISKIE077008,installed,1729061440,Panchet Commercial
ISKIE077208,installed,1729061444,Panchet Commercial
ISKIE077220,installed,1729061476,Panchet Commercial
ISKIE077218,installed,1729061480,Panchet Commercial
