id,inventoryState,lastConnection,groupName
ISKIE070715,installed,1728707338,Panchet Domestic
ISKIE070798,installed,1728700442,Panchet Domestic
ISKIE070801,installed,1728707338,Panchet Domestic
ISKIE070792,installed,1728707685,Panchet Domestic
ISKIE076970,installed,1728707726,Panchet Commercial
ISKIE076913,installed,1728696419,Panchet Commercial
ISKIE070787,installed,1728700559,Panchet Domestic
ISKIE070878,installed,1728696452,Panchet Domestic
ISKIE070718,installed,1728696455,Panchet Domestic
ISKIE070836,installed,1728696503,Panchet Domestic
ISKIE070837,installed,1728699022,Panchet Domestic
ISKIE070835,installed,1728696511,Panchet Domestic
ISKIE070834,installed,1728696536,Panchet Domestic
ISKIE070833,installed,1728699545,Panchet Domestic
ISKIE070863,installed,1728698999,Panchet Domestic
ISKIE070784,installed,1728696589,Panchet Domestic
ISKIE070814,installed,1728696634,Panchet Domestic
ISKIE070774,installed,1728696638,Panchet Domestic
ISKIE070879,installed,1728696641,Panchet Domestic
ISKIE070773,installed,1728696661,Panchet Domestic
ISKIE070742,installed,1728696682,Panchet Domestic
ISKIE070740,installed,1728698047,Panchet Domestic
ISKIE070431,installed,1701672240,Panchet Domestic
ISKIE070432,installed,1728696730,Panchet Domestic
ISKIE070429,installed,1728696800,Panchet Domestic
ISKIE070868,installed,1728696823,Panchet Domestic
ISKIE070872,installed,,Panchet Domestic
ISKIE070428,installed,1728696864,Panchet Domestic
ISKIE070871,installed,1728699145,Panchet Domestic
ISKIE070786,installed,1728699365,Panchet Domestic
ISKIE070785,installed,,Panchet Domestic
ISKIE070776,installed,1701672242,Panchet Domestic
ISKIE070775,installed,1728693428,Panchet Domestic
ISKIE070865,installed,1728696644,Panchet Domestic
ISKIE070430,installed,1728693483,Panchet Domestic
ISKIE070870,installed,1728698180,Panchet Domestic
ISKIE076984,installed,1728694885,Panchet Domestic
ISKIE070817,installed,1728695263,Panchet Domestic
ISKIE070813,installed,1728693504,Panchet Domestic
ISKIE070777,installed,1710362192,Panchet Domestic
ISKIE070864,installed,1699988760,Panchet Domestic
ISKIE070709,installed,1728699672,Panchet Domestic
ISKIE070712,installed,1728696958,Panchet Domestic
ISKIE070855,installed,1728700770,Panchet Domestic
ISKIE070708,installed,1728693564,Panchet Domestic
ISKIE076987,installed,1728699826,Panchet Domestic
ISKIE076985,installed,1702586203,Panchet Domestic
ISKIE070857,installed,1728693633,Panchet Domestic
ISKIE070866,installed,1728696960,Panchet Domestic
ISKIE070783,installed,1728699345,Panchet Domestic
ISKIE070853,installed,1728698839,Panchet Domestic
ISKIE070719,installed,1728696989,Panchet Domestic
ISKIE070690,installed,1728689832,Panchet Domestic
ISKIE076966,installed,1728285185,Panchet Domestic
ISKIE076986,installed,1728698638,Panchet Domestic
ISKIE076983,installed,1728697143,Panchet Domestic
ISKIE070778,installed,,Panchet Domestic
ISKIE070867,installed,1728697151,Panchet Domestic
ISKIE070780,installed,1728697174,Panchet Domestic
ISKIE070779,installed,1728687896,Panchet Domestic
ISKIE070720,installed,1728700343,Panchet Domestic
ISKIE070722,installed,1728697224,Panchet Domestic
ISKIE070880,installed,1728697228,Panchet Domestic
ISKIE076997,installed,1728693684,Panchet Domestic
ISKIE070741,installed,1728693688,Panchet Domestic
ISKIE076996,installed,1728697255,Panchet Domestic
ISKIE070735,installed,1728697259,Panchet Domestic
ISKIE070711,installed,1728695958,Panchet Domestic
ISKIE070734,installed,1728700369,Panchet Domestic
ISKIE070847,installed,1728695959,Panchet Domestic
ISKIE070737,installed,1728695959,Panchet Domestic
ISKIE070710,installed,1728695960,Panchet Domestic
ISKIE076927,installed,1728700149,Panchet Domestic
ISKIE070843,installed,,Panchet Domestic
ISKIE070869,installed,1728688410,Panchet Domestic
ISKIE070846,installed,1728697016,Panchet Domestic
ISKIE070736,installed,1728697082,Panchet Domestic
ISKIE070733,installed,1728697086,Panchet Domestic
ISKIE070845,installed,1728697107,Panchet Domestic
ISKIE070822,installed,,Panchet Domestic
ISKIE070844,installed,,Panchet Domestic
ISKIE070771,installed,1728699251,Panchet Domestic
ISKIE070749,installed,1728695961,Panchet Domestic
ISKIE070805,installed,1728698577,Panchet Domestic
ISKIE076911,installed,1728701095,Panchet Domestic
ISKIE076964,installed,1728697333,Panchet Domestic
ISKIE077195,installed,1728697336,Panchet Domestic
ISKIE077196,installed,1728697340,Panchet Domestic
ISKIE076905,installed,1728697344,Panchet Domestic
ISKIE077158,installed,1728697364,Panchet Domestic
ISKIE077155,installed,1728697368,Panchet Domestic
ISKIE076928,installed,,Panchet Domestic
ISKIE076923,installed,1728697409,Panchet Domestic
ISKIE076924,installed,1728700621,Panchet Domestic
ISKIE070824,installed,1728700621,Panchet Domestic
ISKIE076897,uninstalled,1699297827,Panchet Domestic
ISKIE076963,installed,1728700622,Panchet Domestic
ISKIE076967,installed,1728700623,Panchet Domestic
ISKIE070706,installed,1728700623,Panchet Domestic
ISKIE077264,installed,1703889598,Panchet Domestic
ISKIE077172,installed,1728700645,Panchet Domestic
ISKIE077188,installed,1728700646,Panchet Domestic
