groupName,device,isDataAvailable,measuredAt
Panchet Domestic,ISKIE070784,True,
Panchet Domestic,ISKIE070814,True,
Panchet Domestic,ISKIE070774,True,
Panchet Domestic,ISKIE070879,True,
Panchet Domestic,ISKIE070773,True,
Panchet Domestic,ISKIE070742,True,
Panchet Domestic,ISKIE070740,True,
Panchet Domestic,ISKIE070431,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070432,True,
Panchet Domestic,ISKIE070429,True,
Panchet Domestic,ISKIE070868,True,
Panchet Domestic,ISKIE070872,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070428,True,
Panchet Domestic,ISKIE070871,True,
Panchet Domestic,ISKIE070786,True,
Panchet Domestic,ISKIE070785,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070776,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070775,True,
Panchet Domestic,ISKIE070865,True,
Panchet Domestic,ISKIE070430,True,
Panchet Domestic,ISKIE070870,True,
Panchet Domestic,ISKIE076984,True,
Panchet Domestic,ISKIE070817,True,
Panchet Domestic,ISKIE070813,True,
Panchet Domestic,ISKIE070777,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070864,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070709,True,
Panchet Domestic,ISKIE070712,True,
Panchet Domestic,ISKIE070855,True,
Panchet Domestic,ISKIE070708,True,
Panchet Domestic,ISKIE076987,True,
Panchet Domestic,ISKIE076985,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070857,True,
Panchet Domestic,ISKIE070866,True,
Panchet Domestic,ISKIE070783,True,
Panchet Domestic,ISKIE070853,True,
Panchet Domestic,ISKIE070719,True,
Panchet Domestic,ISKIE070690,True,
Panchet Domestic,ISKIE076966,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE076986,True,
Panchet Domestic,ISKIE076983,True,
Panchet Domestic,ISKIE070778,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070867,True,
Panchet Domestic,ISKIE070780,True,
Panchet Domestic,ISKIE070779,True,
Panchet Domestic,ISKIE070720,True,
Panchet Domestic,ISKIE070722,True,
Panchet Domestic,ISKIE070880,True,
Panchet Domestic,ISKIE076997,True,
Panchet Domestic,ISKIE070741,True,
Panchet Domestic,ISKIE076996,True,
Panchet Domestic,ISKIE070735,True,
Panchet Domestic,ISKIE070711,True,
Panchet Domestic,ISKIE070734,True,
Panchet Domestic,ISKIE070847,True,
Panchet Domestic,ISKIE070737,True,
Panchet Domestic,ISKIE070710,True,
Panchet Domestic,ISKIE076927,True,
Panchet Domestic,ISKIE070843,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070869,True,
Panchet Domestic,ISKIE070846,True,
Panchet Domestic,ISKIE070736,True,
Panchet Domestic,ISKIE070733,True,
Panchet Domestic,ISKIE070845,True,
Panchet Domestic,ISKIE070822,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070844,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070771,True,
Panchet Domestic,ISKIE070749,True,
Panchet Domestic,ISKIE070805,True,
Panchet Domestic,ISKIE076911,True,
Panchet Domestic,ISKIE076964,True,
Panchet Domestic,ISKIE077195,True,
Panchet Domestic,ISKIE077196,True,
Panchet Domestic,ISKIE076905,True,
Panchet Domestic,ISKIE077158,True,
Panchet Domestic,ISKIE077155,True,
Panchet Domestic,ISKIE076928,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE076923,True,
Panchet Domestic,ISKIE076924,True,
Panchet Domestic,ISKIE070824,True,
Panchet Domestic,ISKIE076897,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE076963,True,
Panchet Domestic,ISKIE076967,True,
Panchet Domestic,ISKIE070706,True,
Panchet Domestic,ISKIE077264,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE077172,True,
Panchet Domestic,ISKIE077188,True,
Panchet Domestic,ISKIE077191,True,
Panchet Domestic,ISKIE077119,True,
Panchet Domestic,ISKIE070819,True,
Panchet Domestic,ISKIE070821,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE077189,True,
Panchet Domestic,ISKIE077192,True,
Panchet Commercial,ISKIE077121,True,
Panchet Commercial,ISKIE077118,True,
Panchet Commercial,ISKIE077120,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE076974,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE076975,True,
Panchet Domestic,ISKIE070856,True,
Panchet Commercial,ISKIE077148,True,
Panchet Domestic,ISKIE077157,True,
Panchet Domestic,ISKIE077162,True,
Panchet Domestic,ISKIE077170,True,
Panchet Domestic,ISKIE077171,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE077154,True,
Panchet Domestic,ISKIE077153,True,
Panchet Domestic,ISKIE076906,True,
Panchet Domestic,ISKIE070820,True,
Panchet Domestic,ISKIE076907,True,
Panchet Domestic,ISKIE077160,True,
Panchet Domestic,ISKIE077044,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE077046,True,
Panchet Domestic,ISKIE077045,True,
Panchet Domestic,ISKIE077047,True,
Panchet Commercial,ISKIE077265,True,
Panchet Domestic,ISKIE077197,True,
Panchet Domestic,ISKIE070815,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070782,True,
Panchet Domestic,ISKIE077190,True,
Panchet Domestic,ISKIE077168,True,
Panchet Domestic,ISKIE070826,True,
Panchet Commercial,ISKIE077122,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE077263,True,
Panchet Domestic,ISKIE077267,True,
Panchet Domestic,ISKIE077266,True,
Panchet Domestic,ISKIE077055,True,
Panchet Domestic,ISKIE076910,True,
Panchet Domestic,ISKIE076980,True,
Panchet Domestic,ISKIE076981,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE076982,True,
Panchet Domestic,ISKIE076909,True,
Panchet Domestic,ISKIE076978,True,
Panchet Domestic,ISKIE076908,True,
Panchet Domestic,ISKIE076925,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE076914,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE076979,True,
Panchet Domestic,ISKIE076893,True,
Panchet Domestic,ISKIE076895,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE076894,True,
Panchet Domestic,ISKIE076896,True,
Panchet Domestic,ISKIE076977,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE076904,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE077057,True,
Panchet Domestic,ISKIE077053,True,
Panchet Domestic,ISKIE077043,True,
Panchet Domestic,ISKIE076965,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE077054,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE077169,True,
Panchet Domestic,ISKIE070781,True,
Panchet Domestic,ISKIE070854,True,
Panchet Domestic,ISKIE070818,True,
Panchet Domestic,ISKIE077156,True,
Panchet Domestic,ISKIE077159,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE077161,False,2024-09-30T18:31:00Z
Panchet Commercial,ISKIE077203,True,
Panchet Commercial,ISKIE077204,True,
Panchet Commercial,ISKIE076995,True,
Panchet Commercial,ISKIE077207,True,
Panchet Domestic,ISKIE077140,False,2024-09-30T18:31:00Z
Panchet Commercial,ISKIE077097,True,
Panchet Commercial,ISKIE077145,True,
Panchet Commercial,ISKIE077151,True,
Panchet Commercial,ISKIE077210,False,2024-09-30T18:31:00Z
Panchet Commercial,ISKIE076976,True,
Panchet Commercial,ISKIE077135,False,2024-09-30T18:31:00Z
Panchet Commercial,ISKIE077133,True,
Panchet Commercial,ISKIE077134,True,
Panchet Commercial,ISKIE077138,True,
Panchet Commercial,ISKIE077141,False,2024-09-30T18:31:00Z
Panchet Commercial,ISKIE077139,True,
Panchet Commercial,ISKIE077011,True,
Panchet Commercial,ISKIE077143,True,
Panchet Commercial,ISKIE077150,True,
Panchet Commercial,ISKIE077149,True,
Panchet Commercial,ISKIE077152,True,
Panchet Commercial,ISKIE077008,True,
Panchet Commercial,ISKIE077208,True,
Panchet Commercial,ISKIE077220,True,
Panchet Commercial,ISKIE077218,True,
Panchet Commercial,ISKIE077209,False,2024-09-30T18:31:00Z
Panchet Commercial,ISKIE077205,True,
Panchet Commercial,ISKIE076962,True,
Panchet Commercial,ISKIE077095,False,2024-09-30T18:31:00Z
Panchet Commercial,ISKIE077144,False,2024-09-30T18:31:00Z
Panchet Commercial,ISKIE076903,True,
Panchet Commercial,ISKIE077012,True,
Panchet Commercial,ISKIE077009,True,
Panchet Commercial,ISKIE077096,True,
Panchet Commercial,ISKIE077222,True,
Panchet Commercial,ISKIE077136,False,2024-09-30T18:31:00Z
Panchet Commercial,ISKIE077093,True,
Panchet Commercial,ISKIE077147,True,
Panchet Commercial,ISKIE077206,True,
Panchet Commercial,ISKIE077142,False,2024-09-30T18:31:00Z
Panchet Commercial,ISKIE077193,False,2024-09-30T18:31:00Z
Panchet Commercial,ISKIE077212,True,
Panchet Commercial,ISKIE077137,False,2024-09-30T18:31:00Z
Panchet Commercial,ISKIE077146,True,
Panchet Commercial,ISKIE077010,True,
Panchet Commercial,ISKIE077194,True,
Panchet Commercial,ISKIE077211,True,
Panchet Commercial,ISKIE077094,True,
Panchet Commercial,ISKIE077219,True,
Panchet Commercial,ISKIE077038,True,
Panchet Commercial,ISKIE077236,False,2024-09-30T18:31:00Z
Panchet Commercial,ISKIE077259,True,
Panchet Commercial,ISKIE077059,True,
Panchet Commercial,ISKIE077062,True,
Panchet Commercial,ISKIE077061,True,
Panchet Commercial,ISKIE077060,True,
Panchet Commercial,ISKIE077248,False,2024-09-30T18:31:00Z
Panchet Commercial,ISKIE077064,True,
Panchet Commercial,ISKIE076889,False,2024-09-30T18:31:00Z
Panchet Commercial,ISKIE076890,True,
Panchet Commercial,ISKIE076888,True,
Panchet Commercial,ISKIE077250,False,2024-09-30T18:31:00Z
Panchet Commercial,ISKIE077030,False,2024-09-30T18:31:00Z
Panchet Commercial,ISKIE077031,True,
Panchet Commercial,ISKIE077251,False,2024-09-30T18:31:00Z
Panchet Commercial,ISKIE077249,True,
Panchet Commercial,ISKIE077032,False,2024-09-30T18:31:00Z
Panchet Commercial,ISKIE077029,True,
Panchet Commercial,ISKIE076891,True,
Panchet Commercial,ISKIE077028,True,
Panchet Commercial,ISKIE076892,True,
Panchet Commercial,ISKIE077063,True,
Panchet Commercial,ISKIE076901,True,
Panchet Commercial,ISKIE077260,True,
Panchet Commercial,ISKIE077262,True,
Panchet Commercial,ISKIE076902,True,
Panchet Commercial,ISKIE077041,True,
Panchet Commercial,ISKIE077261,False,2024-09-30T18:31:00Z
Panchet Commercial,ISKIE077221,False,2024-09-30T18:31:00Z
Panchet Commercial,ISKIE077231,False,2024-09-30T18:31:00Z
Panchet Commercial,ISKIE077234,True,
Panchet Commercial,ISKIE077233,False,2024-09-30T18:31:00Z
Panchet Commercial,ISKIE077067,True,
Panchet Commercial,ISKIE077229,True,
Panchet Commercial,ISKIE077040,False,2024-09-30T18:31:00Z
Panchet Commercial,ISKIE077230,False,2024-09-30T18:31:00Z
Panchet Commercial,ISKIE077258,True,
Panchet Commercial,ISKIE077228,True,
Panchet Commercial,ISKIE077232,True,
Panchet Commercial,ISKIE077065,True,
Panchet Commercial,ISKIE077039,True,
Panchet Commercial,ISKIE077042,True,
Panchet Commercial,ISKIE077237,True,
Panchet Commercial,ISKIE077235,True,
Panchet Commercial,ISKIE076900,True,
Panchet Commercial,ISKIE077225,True,
Panchet Commercial,ISKIE077227,True,
Panchet Commercial,ISKIE077223,True,
Panchet Commercial,ISKIE077226,True,
Panchet Commercial,ISKIE077224,True,
Raghunathpur TPS Domestic,ISKIE074479,False,2024-09-30T18:31:00Z
Raghunathpur TPS Domestic,ISKIE074481,True,
Raghunathpur TPS Domestic,ISKIE074374,True,
Raghunathpur TPS Domestic,ISKIE074342,True,
Raghunathpur TPS Domestic,ISKIE074321,True,
Raghunathpur TPS Domestic,ISKIE074322,True,
Raghunathpur TPS Domestic,ISKIE074256,True,
Raghunathpur TPS Domestic,ISKIE074158,True,
Raghunathpur TPS Domestic,ISKIE074561,True,
Raghunathpur TPS Domestic,ISKIE074558,True,
Raghunathpur TPS Domestic,ISKIE074401,True,
Raghunathpur TPS Domestic,ISKIE074425,True,
Raghunathpur TPS Domestic,ISKIE074406,True,
Raghunathpur TPS Domestic,ISKIE074405,False,2024-09-30T18:31:00Z
Raghunathpur TPS Domestic,ISKIE074403,True,
Raghunathpur TPS Domestic,ISKIE074427,True,
Raghunathpur TPS Domestic,ISKIE074316,True,
Raghunathpur TPS Domestic,ISKIE074563,True,
Raghunathpur TPS Domestic,ISKIE074208,True,
Raghunathpur TPS Domestic,ISKIE074566,False,2024-09-30T18:31:00Z
Raghunathpur TPS Domestic,ISKIE074315,False,2024-09-30T18:31:00Z
Raghunathpur TPS Domestic,ISKIE074385,False,2024-09-30T18:31:00Z
Raghunathpur TPS Domestic,ISKIE074183,True,
Raghunathpur TPS Domestic,ISKIE074170,True,
Raghunathpur TPS Domestic,ISKIE074238,True,
Raghunathpur TPS Domestic,ISKIE067910,False,2024-09-30T18:31:00Z
Raghunathpur TPS Domestic,ISKIE074312,True,
Raghunathpur TPS Domestic,ISKIE067968,True,
Raghunathpur TPS Domestic,ISKIE074582,True,
Raghunathpur TPS Domestic,ISKIE074163,False,2024-09-30T18:31:00Z
Raghunathpur TPS Domestic,ISKIE074614,True,
Raghunathpur TPS Domestic,ISKIE074171,True,
Raghunathpur TPS Domestic,ISKIE074485,True,
Raghunathpur TPS Domestic,ISKIE074334,True,
Raghunathpur TPS Domestic,ISKIE074621,True,
Raghunathpur TPS Domestic,ISKIE074615,False,2024-09-30T18:31:00Z
Raghunathpur TPS Domestic,ISKIE074622,True,
Raghunathpur TPS Domestic,ISKIE074575,True,
Raghunathpur TPS Domestic,ISKIE074229,True,
Raghunathpur TPS Domestic,ISKIE074410,True,
Raghunathpur TPS Domestic,ISKIE074486,False,2024-09-30T18:31:00Z
Raghunathpur TPS Domestic,ISKIE074213,True,
Raghunathpur TPS Domestic,ISKIE074215,True,
Raghunathpur TPS Domestic,ISKIE074358,True,
Raghunathpur TPS Domestic,ISKIE074237,True,
Raghunathpur TPS Domestic,ISKIE074559,True,
Raghunathpur TPS Domestic,ISKIE074564,False,2024-09-30T18:31:00Z
Raghunathpur TPS Domestic,ISKIE074185,True,
Raghunathpur TPS Domestic,ISKIE074186,True,
Raghunathpur TPS Domestic,ISKIE074308,False,2024-09-30T18:31:00Z
Raghunathpur TPS Domestic,ISKIE074242,True,
Raghunathpur TPS Domestic,ISKIE074240,False,2024-09-30T18:31:00Z
Raghunathpur TPS Domestic,ISKIE074487,True,
Raghunathpur TPS Domestic,ISKIE074484,True,
Raghunathpur TPS Domestic,ISKIE074214,True,
Raghunathpur TPS Domestic,ISKIE074231,True,
Raghunathpur TPS Domestic,ISKIE074319,True,
Raghunathpur TPS Domestic,ISKIE074413,True,
Raghunathpur TPS Domestic,ISKIE074162,True,
Raghunathpur TPS Domestic,ISKIE074499,True,
Raghunathpur TPS Domestic,ISKIE074454,True,
Raghunathpur TPS Domestic,ISKIE074501,True,
Raghunathpur TPS Domestic,ISKIE074570,True,
Raghunathpur TPS Domestic,ISKIE074617,True,
Raghunathpur TPS Domestic,ISKIE074498,True,
Raghunathpur TPS Domestic,ISKIE074196,True,
Raghunathpur TPS Domestic,ISKIE074382,True,
Raghunathpur TPS Domestic,ISKIE074216,False,2024-09-30T18:31:00Z
Raghunathpur TPS Domestic,ISKIE074562,True,
Raghunathpur TPS Domestic,ISKIE067978,False,2024-09-30T18:31:00Z
